F,x,gb0,gb1
0.01,1.4806597552807957e-10,1.5874607008273443e-8,1.6597168887400026e-8
0.02,3.0473289450308077e-10,1.6962766341079014e-8,1.829002696445151e-8
0.03,4.809735502381336e-10,1.9675088261127255e-8,2.115912658486875e-8
0.04,6.924033871368287e-10,2.5317039890759687e-8,2.6363634837012193e-8
0.05,9.662838275933286e-10,3.462194086747612e-8,3.788077693334113e-8
0.06,1.3549643744391759e-9,5.904300784706315e-8,6.47240769934277e-8
0.07,1.978514167047888e-9,0.0007280879151989468,1.663931467385993e-6
0.08,3.1938866131100606e-9,0.0029655896112384898,0.004466418570184774
0.09,6.8001005249396116e-9,0.015764190947317513,0.01621657239560995
0.1,1.5309105559963059e-6,0.054415073702178005,0.052614416946651754
0.11,0.000997968190098502,0.08688401224525615,0.08305176797378531
0.12,0.00199795172359281,0.09801801767936796,0.09662289370297089
0.13,0.0029979430661921103,0.09999983469233212,0.09962936165845146
0.14,0.0039979269126171856,0.10000013995132312,0.09999999192268529
0.15,0.00499795532970493,0.10000062074905543,0.09999999523606733
0.16,0.0059979599319395175,0.0999998483966091,0.0999999965994514
0.17,0.006997924228895721,0.09999972039936568,0.09999999751193099
0.18,0.007997946397332222,0.10000039970384672,0.09999999803891958
0.19,0.00899796595652311,0.10000094028779405,0.09999999844197971
0.2,0.00999793064243764,0.10000204648841962,0.09999999871240048
