F,x,grad
<<<<<<< HEAD
0.001,2.1652059644798524e-7,0.0002178009113449009
0.002,4.3316054787340624e-7,0.0002179747994572101
0.003,6.500332959315885e-7,0.00021826486803284696
0.004,8.672528349925745e-7,0.00021867190386943848
0.005,1.0849340201064449e-6,0.00021919700329600114
0.006,1.3031928692148354e-6,0.0002198415699693257
0.007,1.5221468596329115e-6,0.0002206073125465613
0.008,1.7419152191901e-6,0.00022149624251562863
0.009,1.9626192124007125e-6,0.00022251067248455492
0.01,2.1843824230754127e-6,0.00022365321523807325
0.011,2.405356456125873e-6,0.00022490408353672555
0.012,2.62940537221546e-6,0.0002263093837168717
0.013,2.8548964282842568e-6,0.00022785225394457155
0.014,3.0819658311395683e-6,0.00022953653229471627
0.015,3.3107536269505372e-6,0.0002313663766528751
0.016,3.541404009692909e-6,0.0002333462742005077
0.017,3.7740656390448872e-6,0.00023548105335882143
0.018,4.008891970559095e-6,0.00023777589835005664
0.019,4.246041600095111e-6,0.0002402363665198859
0.02,4.485678625530508e-6,0.00024286840855684
0.021,4.72797302834528e-6,0.0002456783917432426
0.022,4.9731010780816436e-6,0.0002486731263774078
0.023,5.221245762511045e-6,0.00025185989552227727
0.024,5.472597246992599e-6,0.00025524648825340227
0.025,5.727353365816956e-6,0.00025884123661084056
0.026,5.985720149736544e-6,0.0002626530564892482
0.027,6.247912392677582e-6,0.0002666914927461406
0.028,6.514154262200797e-6,0.0002709667688519102
0.029,6.7846799577459155e-6,0.00027548984146168464
0.03,7.05973442125811e-6,0.0002802724603489182
0.031,7.339574105408935e-6,0.00028532723420970907
0.032,7.62446780507301e-6,0.00029066770292209834
0.033,7.9146975577003e-6,0.000296308416932789
0.034,8.210559619857894e-6,0.0003022650245364522
0.035,8.512365527002877e-6,0.0003085543679239078
0.036,8.820443244842179e-6,0.0003151945889962593
0.037,9.135138421551227e-6,0.00032220524607972094
0.038,9.456815750818949e-6,0.0003296074428335905
0.039,9.78586045733814e-6,0.00033742397082290324
0.04,1.0121816624577325e-5,0.00034566909077102806
0.041,1.046770542774096e-5,0.0003544005910233517
0.042,1.0821394142056927e-5,0.00036361621554001914
0.043,1.1184108248478842e-5,0.00037335567614802393
0.044,1.155655068125413e-5,0.00038365588892498305
0.045,1.1939191374884857e-5,0.00039455254050172476
0.046,1.2332611530113208e-5,0.00040608573581973895
0.047,1.2737430583955268e-5,0.0004182991481864629
0.048,1.3154309521450343e-5,0.0004312403951204802
0.049,1.3583954525452598e-5,0.000444961460570803
0.05,1.402712100395684e-5,0.00045951917007733826
0.051,1.448461804098734e-5,0.0004749757264791543
0.052,1.4957313323179679e-5,0.0004913993150089891
0.053,1.5446138600583577e-5,0.0005088647880573505
0.054,1.5952095750339863e-5,0.0005274544416035255
0.055,1.6476263519980613e-5,0.0005472588973363335
0.056,1.701980503955651e-5,0.0005683781068945404
0.057,1.758397620509813e-5,0.0005909224975222505
0.058,1.8170135050578394e-5,0.0006150142818471927
0.059,1.877975224514704e-5,0.0006407889585782645
0.06,1.9414422872582126e-5,0.0006683970358098868
0.061,2.007587967629721e-5,0.0006980060145047152
0.062,2.076600798253149e-5,0.0007298026768047917
