F,x,grad
0.072,7.131564593865214e-7,2.5460510738684052e-5
0.073,7.393707909253422e-7,2.7372854784957214e-5
0.074,7.675669569939814e-7,2.9508273476896998e-5
0.075,7.979769914845392e-7,3.190276303665085e-5
0.076,8.308704109727394e-7,3.4599866389894986e-5
0.077,8.665623406622913e-7,3.7652662347609225e-5
0.078,9.054236463357235e-7,4.11263866333167e-5
0.079,9.478939114737628e-7,4.510193449680511e-5
0.08,9.944982424792137e-7,4.968060123027307e-5
0.081,1.04586929083883e-6,5.499058763704934e-5
0.082,1.1027764938442708e-6,6.119606425476487e-5
0.083,1.1661654571448743e-6,6.851001382710554e-5
0.084,1.2372118450842962e-6,7.721276686696311e-5
0.085,1.3173964258372806e-6,8.767931063329293e-5
0.086,1.4086116422173944e-6,0.00010042046212912493
0.087,1.51331631503826e-6,0.00011614657624854364
0.088,1.634765879110489e-6,0.00013586907234757197
0.089,1.7735500144056005e-6,0.00016072320340156934
0.09,1.935878453929174e-6,0.00019285191787697943
0.091,2.139932360700758e-6,0.00023665699368615736
0.092,2.424817974189253e-6,0.00030128977574556126
0.093,2.833857567552389e-6,0.0004016016446034221
0.094,3.2921145627917703e-6,0.0005427499534223168
0.095,3.912761937230336e-6,0.0007705189378191424
0.096,4.7793043818633585e-6,0.0011669757530441305
0.097,6.054316609105381e-6,0.0019398668370757433
0.098,8.482102086093679e-6,0.0039095636974068705
0.099,1.6914499811226946e-5,0.012639330927024206
0.1,3.882199310817347e-5,0.05000262698302227
0.101,0.00011692001428836862,0.08736063730731776
0.102,0.00020848571524600956,0.09609078008984939
0.103,0.0003060571285638525,0.09806057281342064
0.104,0.0004047825252068704,0.09883325079720001
0.105,0.0005039163722322382,0.09922958292469042
0.106,0.000603295926308367,0.09945729950248378
0.107,0.0007028377583258583,0.0995984266043562
0.108,0.0008024298420138409,0.09969859506580889
0.109,0.0009021438666402815,0.09976335956331153
0.11,0.0010019394354793265,0.09980719993467357
0.111,0.0011017770492282586,0.09983932883984169
0.112,0.0012016384964476101,0.09986415920791751
0.113,0.0013015170691642597,0.09988387759850016
0.114,0.0014014123854681482,0.09989960030361116
