F,x,grad
0.0,-1.3502127704875132e-18,0.07439288786448084
0.05,8.239345377853868e-6,0.07470119485239035
0.1,1.6208708028382314e-5,0.07471166606084767
0.15,2.4313792823007863e-5,0.0747222489201057
0.2,3.241994246203759e-5,0.07473709025828557
0.25,4.052759053124801e-5,0.07475619268054023
0.3,4.863717103348283e-5,0.07477955958491245
0.35,5.674911850776486e-5,0.07480719515870826
0.4,6.486386814852778e-5,0.07483910437399732
0.45,7.319080293823857e-5,0.07487606354105769
0.5,8.133762667342304e-5,0.07491678526618717
0.55,8.948901842070532e-5,0.07496182085858538
0.6,9.764543533977639e-5,0.0750111786490304
0.65,0.00010580733584726876,0.07506486772344023
0.7,0.00011397543092695915,0.07512290552121148
0.75,0.0001221500964272856,0.07518529910910188
0.8,0.00013033167052693497,0.07525205589733641
0.85,0.00013852061617476165,0.07532318793410109
0.9,0.00014671739821880647,0.07539870797219572
0.95,0.00015492248349878446,0.07547862945860995
1.0,0.00016313634093850324,0.07556296652379402
1.05,0.00017135944163821962,0.0756517339705558
1.1,0.00017959225896647675,0.07574494726327297
1.15,0.00018783526865216979,0.07584262251653073
1.2,0.00019608894887564686,0.07594477648426923
1.25,0.00020435378036020208,0.07605142654855368
1.3,0.00021263024646277,0.07616259070863896
1.35,0.0002209188332647317,0.07627828757029798
1.4,0.0002292200296617956,0.07639853633490268
1.45,0.00023753432745448493,0.07652335678920741
1.5,0.00024586222143772857,0.07665276929519882
1.55,0.0002542042094905794,0.07678679477998718
1.6,0.00026256079266606344,0.07692545472632961
1.65,0.0002709324752801705,0.07706877116346
1.7,0.0002793197650016756,0.07721676665804922
1.75,0.0002875170967835052,0.07736639125381695
1.8,0.0002959275776702171,0.07752361959769205
1.85,0.00030435495517563667,0.0776855908875761
1.9,0.00031279974708585954,0.07785232966618838
1.95,0.0003212624750656756,0.07802386097840541
2.0,0.000329743664759558,0.07820021036536329
2.05,0.0003382438458959813,0.0783814038579531
2.1,0.000346763552388952,0.07856746797150249
2.15,0.0003553033224439261,0.07875842970092184
2.2,0.00036386369866088833,0.07895431651509299
2.25,0.0003724452281423721,0.07915515635310788
2.3,0.0003810484625983545,0.07936097761984362
2.35,0.00038967395845529033,0.07957180918205996
2.4,0.00039832227696536145,0.07978768036490747
2.45,0.00040699398431478097,0.08000862094869565
2.5,0.0004156896517373207,0.08023466116572919
2.55,0.0004244098556258913,0.08046583169754618
2.6,0.00043315517764555144,0.08070216367235417
2.65,0.00044192620485056515,0.08094368866244861
2.7,0.00045072352979893523,0.08119043868196518
2.75,0.0004595477506715295,0.08144244618482976
2.8,0.0004683994713913891,0.08169974406224934
2.85,0.0004772793017438373,0.08196236564122748
2.9,0.0004861878574992624,0.08223034468223256
2.95,0.0004951257605360903,0.08250371537713606
3.0,0.0005040936389667919,0.08278251234743361
3.05,0.0005130921272641451,0.08306677064234669
3.1,0.0005221218663892601,0.08335652573614594
3.15,0.0005311835039205177,0.08365181352650863
3.2,0.0005402776941863066,0.08395267033206988
3.25,0.0005494050983956802,0.08425913288963793
3.3,0.0005585663847736221,0.08457123835192248
3.35,0.0005677622286949852,0.08488902428453027
3.4,0.0005769933128226072,0.08521252866274964
3.45,0.0005862603272441075,0.08554178986859629
3.5,0.0005955639696121934,0.08587684668684392
3.55,0.0006049049452840028,0.086217738301269
3.6,0.00061428396746451,0.08656450429059802
3.65,0.0006237017573471958,0.08691718462369757
3.7,0.0006331590442611243,0.08727581965441866
3.75,0.0006426565658113535,0.08764045011726396
3.8,0.0006521950680304321,0.08801111712018317
3.85,0.0006617753055208481,0.08838786213979222
3.9,0.0006713980416035563,0.08877072701362632
3.95,0.0006810640484669926,0.08915975393382902
4.0,0.0006907741073175418,0.08955498543906736
4.05,0.0007005290085243166,0.08995646440684957
4.1,0.0007103295517719573,0.09036423404387404
4.15,0.0007201765462111748,0.09077833787812473
4.2,0.0007302885461310262,0.09120335665141699
4.25,0.0007402366155717375,0.09163038299967563
4.3,0.000750233683116664,0.09206387660266058
4.35,0.0007602805942766282,0.09250388204787952
4.4,0.0007703782046089938,0.09295044418346043
4.45,0.0007805273798703967,0.09340360810547255
4.5,0.0007907289961667848,0.09386341914365892
4.55,0.0008009839400972045,0.09432992284713304
4.6,0.0008112931089073893,0.09480316497095531
4.65,0.0008216574106337184,0.09528319145825859
4.7,0.0008320777642495388,0.09577004842552583
4.75,0.0008425550998113732,0.0962637821451473
