F,x,gb0,gb1
0.01,2.982834118479454e-10,0.03216372577868408,0.032792567380629606
0.02,5.970974106929215e-10,0.030266332988600063,0.030995981745069793
0.03,8.983578423920271e-10,0.03072655646574853,0.029595140039551153
0.04,1.231742716473317e-9,0.03376654620311787,0.03420194020446761
0.05,1.6492618061300495e-9,0.040490779010458604,0.037557637132955714
0.06,2.2247219491607466e-9,0.04281956610545561,0.04020151760213092
0.07,3.200698999897061e-9,0.04040970630662107,0.04400086107145499
0.08,5.048209468193885e-9,0.04841090344696275,0.044201623121993015
0.09,1.0562036041112316e-8,0.0517049899661373,0.04880471081045405
0.1,2.1973705421600867e-6,0.05220462762612672,0.04788094320691557
0.11,0.0009979635532184593,0.0631968877890344,0.05499133953173376
0.12,0.0019979553832628776,0.06002763952520516,0.060599118098411967
0.13,0.0029979503163184654,0.06416795166245218,0.06020425152119168
0.14,0.003997980912396904,0.0642345861540361,0.06559925353067704
0.15,0.0049979459744784495,0.07358227327371714,0.06999232781158006
0.16,0.005997920235374879,0.07512920679367863,0.07539972703246417
0.17,0.006997915866803192,0.07596495820960311,0.0730009588705332
0.18,0.007997927333153961,0.07996300643994646,0.07800187358353063
0.19,0.00899795512167048,0.08181324241452229,0.08457665938309639
0.2,0.009997975610336881,0.08660807853551392,0.08373186081216084
