F,x,grad
0.0,-1.0326347696476867e-17,0.019026876823236893
0.05,2.0123464641337353e-6,0.016495406883944352
0.1,4.024744848987993e-6,0.01649447547509697
0.15,6.037102712707198e-6,0.01649292685834214
0.2,8.049329007807874e-6,0.016490776982112876
0.25,1.0061334939750259e-5,0.016488048127188293
0.3,1.2073034861820151e-5,0.01648476889951922
0.35,1.4031502844462517e-5,0.016480000297488084
0.4,1.603447736131525e-5,0.016475663638577775
0.45,1.8036873271215846e-5,0.01647089111978528
0.5,2.003863699154715e-5,0.016465735849990004
0.55,2.203972132060714e-5,0.016460256986394195
0.6,2.404008611600187e-5,0.01645451963765787
0.65,2.603901590423699e-5,0.016448564828831058
0.7,2.8036755271784964e-5,0.016442483722862833
0.75,3.003396272944653e-5,0.01643638767660116
0.8,3.20304462386858e-5,0.016430355063025592
0.85,3.402617622878995e-5,0.016424476374780284
0.9,3.602116476621188e-5,0.016418848359380567
0.95,3.8015435739920784e-5,0.01641357235024754
1.0,4.000902534190156e-5,0.016408753901797746
1.05,4.2002072732466644e-5,0.016404506746495517
1.1,4.399492236898986e-5,0.016400956106798592
1.15,4.5987302417648485e-5,0.016398200311136035
1.2,4.797930511807808e-5,0.016396357894797986
1.25,4.99710363905689e-5,0.01639554943563981
1.3,5.1962616114978814e-5,0.016395897081775357
1.35,5.3954178354612673e-5,0.016397524074377334
1.4,5.594587152428848e-5,0.01640055427171494
1.45,5.793785850181212e-5,0.016405111680626527
1.5,5.9930316920236335e-5,0.01641132000832124
1.55,6.192454475083274e-5,0.01641934572711956
1.6,6.392269768938329e-5,0.016429386699772563
1.65,6.592160893868064e-5,0.01644142955722061
1.7,6.792151564506427e-5,0.01645559277876607
1.75,6.992266729486502e-5,0.016471992595455953
1.8,7.192532553888417e-5,0.016490742743283215
1.85,7.392976396985102e-5,0.01651195425548435
1.9,7.593637699959525e-5,0.016535748790972304
1.95,7.794585801254109e-5,0.016562258185860768
2.0,7.994119052353705e-5,0.01659079635198568
2.05,8.195382817544696e-5,0.016622861012805412
2.1,8.397003706789014e-5,0.01665790823809188
2.15,8.599016020667375e-5,0.016696030173994902
2.2,8.801454868693451e-5,0.016737315698450272
2.25,9.004356352298337e-5,0.016781850614452587
2.3,9.207757527574104e-5,0.016829717770499686
2.35,9.411696369250215e-5,0.01688099720855485
2.4,9.616211736299533e-5,0.016935766336269364
2.45,9.821343339382157e-5,0.01699410012020519
2.5,0.00010027131710378895,0.017056071296851827
2.55,0.00010233618174237385,0.017121750598368624
2.6,0.00010440844823240855,0.017191206990142094
2.65,0.00010648854493881886,0.017264507917414296
2.7,0.00010857690746426141,0.01734171955852004
2.75,0.00011067397847212581,0.017422907082451866
2.8,0.00011278020753771698,0.017508134908760797
2.85,0.00011489605102768101,0.017597466968031994
2.9,0.00011702197200767756,0.017690966961433463
2.95,0.00011915844017831822,0.01778869861808474
3.0,0.00012130593183887621,0.0178907259491895
3.05,0.00012346492987858597,0.01799711349815203
3.1,0.00012563592379481086,0.01810792658602689
3.15,0.0001278194097378383,0.0182232315519123
3.2,0.0001300158905813563,0.018343095987988556
